customer_id,first_name,last_name,date_of_birth,age,state,branch_id,email,phone,employment_status,employment_length_years,annual_income,credit_score,customer_since
CUST100432,Tonya,Savage,1993-12-01,32,VA,BR102,nsims@example.org,+1-921-941-6141x5093, Employed ,13.3,42933.44,729,2021-10-05
CUST101956,Mark,Higgins,1975-08-05,51,MA,BR101,tiffany92@example.net,318-657-2350,Employed,20.4,111314.07,839,2018-08-05
CUST102252,Katie,Mills,2003-04-24,23,MO,BR103,ocampos@example.net,001-907-345-6256x7032,Employed,1.6,60923.12,726,2025-09-26
CUST100778,Michaela,Kelly,2008-01-18,18,MI,BR107,amandasnyder@example.com,+1-501-919-2360, Self-Employed ,0.0,43008.09,710,2017-11-15
CUST100747,Joseph,Case,1986-02-27,40,MI,BR105,victor60@example.net,741-828-3337x2188,Unemployed,0.0,12905.47,570,2022-10-20
CUST100819,  Brian  ,Hayes,1982-01-03,44,WA,BR107,marilyn67@example.net,427-378-2210,Self-Employed,5.7,29118.02,667,2024-10-28
CUST100015,Jade,Carr,1973-07-23,53,Texas,BR103,contrerasangela@example.net,524-711-8244,Employed,0.5,87252.64,772,2014-10-05
CUST101207,Darlene,Cox,1968-12-01,57,NJ,BR103,hmoses@example.org,(539)645-6452,Employed,0.9,48919.58,674,2014-06-29
CUST101661,Derek,Scott,1983-03-27,43,PA,BR107,cjoseph@example.org,307-269-5559x35588,Employed,3.4,13575.46,706,2019-04-19
CUST101727,Sandra,Thomas,1981-03-22,45,IL,BR108,,387.503.2381x2817,Employed,0.0,"$30,435.48",723,2016-12-29
CUST100570,Kelsey,Wright,2006-12-14,19,TN,BR110,karen66@example.org,001-841-511-8600x8921,Employed,1.0,67094.48,697,2024-02-16
CUST100780,Patricia,Davis,1975-08-12,51,GA,BR103,cheryldavis@example.com,,employed,5.0,69600.31,706,2013-01-17
CUST100052,Makayla,Olson,1985-12-24,40,MO,BR103,julie51@example.com,623-368-5160,Employed,22.0,83248.86,704,2018-07-05
CUST101913,Nicholas,Brown,1986-12-10,39,WA,BR108,melissa74@example.org,(508)418-0368,employed,21.0,31120.79,689,2017-01-10
CUST100574,Anna,Burns,1982-12-07,43,NJ,BR104,pedwards@example.org,377-488-1161x62028,Self-Employed,22.4,104427.1,762,2014-09-01
CUST100910,  Cheryl  ,Walker,2006-04-14,20,WA,BR105,caseystafford@example.org,001-857-248-3526x8064,Employed,0.9,37375.26,641,2022-11-04
CUST102265,Sean,Park,1984-10-28,41,WI,BR109,smithalyssa@example.org,+1-376-363-5215x26737,Employed,6.2,60191.5,749,2011-11-29
CUST101916,Chelsea,Suarez,1984-12-28,41,MI,BR109,,+1-453-995-2608x853,Employed,6.1,134796.67,748,2024-11-05
CUST100887,Ruben,Torres,1992-05-26,34,PA,BR106,justin75@example.net,(931)312-3274,Employed,0.7,"$56,644.95",685,2018-06-13
CUST102354,  Michael  ,Anderson,1994-07-28,32,CA,BR106,angelarivera@example.net,+1-604-845-0398x6383,Employed,14.0,,685,2026-05-06
CUST100203,Michelle,Coleman,1978-07-01,48,CA,BR104,harrismaria@example.net,001-361-520-7501x10248,Employed,3.4,59889.36,747,2025-04-24
CUST101351,Mary,Kelley,1996-08-01,30,FL,BR110,jeansmith@example.com,001-625-465-9950x891,Employed,4.3,52982.25,685,2022-03-09
CUST102244,Joan,Jenkins,1987-04-07,39,MI,BR106,ryanturner@example.org,598-792-8914,Employed,0.3,57671.33,738,2026-05-17
CUST100267,Stephen,Foley,1984-12-23,41,MI,BR111,franklintrevor@example.org,001-577-667-1990,Employed,11.2,22623.48,701,2020-12-20
CUST101056,Lawrence,Nelson,1998-11-06,27,WA,BR101,kyleparker@example.com,001-768-621-2156x4952,Employed,9.0,76685.54,669,2020-04-19
CUST100998,Ralph,Smith,1986-03-28,40,WA,BR107,davidclay@example.org,(262)270-6648,Self-Employed,9.0,67228.38,669,2024-04-02
CUST101283,  Patricia  ,Norman,1995-03-01,31,MI,BR111,timothy93@example.net,929-356-5188,Employed,1.0,79201.77,711,2021-05-24
CUST101196,Charles,Hinton,1980-04-08,46,WA,BR101,jstanton@example.org,(875)390-1779x15244,Employed,0.3,42047.58,737,2015-10-25
CUST100736,Shawn,Carter,2002-08-28,24,WA,BR106,,(842)481-3190x92487,Employed,1.2,"$86,558.43",769,2015-04-01
CUST101026,Mariah,Wang,1972-06-06,54,TN,BR101,ftaylor@example.org,543.606.8811x640,Employed,1.2,5934.75,644,2025-11-07
CUST100069,Miguel,Mitchell,1992-10-05,33,MO,BR100,,001-480-279-3597,Employed,7.6,109901.81,766,2018-06-11
CUST102367,Gabriel,Gonzales,1993-11-24,32,NC,BR103,wgarcia@example.com,+1-873-478-1561,employed,13.9,9017.97,649,2012-09-10
CUST100961,Allison,Ford,1968-11-01,57,MI,BR101,ronaldyoung@example.org,594-689-8959x65466,Employed,1.5,88918.03,751,2026-03-25
CUST101502,Peter,Zuniga,2001-10-31,24,NY,BR111,john98@example.org,+1-985-590-7996x585,Employed,6.0,"$64,407.74",736,2025-06-23
CUST100930,Rebecca,Davis,1986-01-29,40,IN,BR108,davidjones@example.org,+1-529-316-1746x9029,EMPLOYED,1.2,43070.87,680,2025-10-22
CUST102111,Denise,Irwin,1987-12-16,38,WA,BR105,lwilliamson@example.com,(533)302-3042x33388,Employed,4.2,69660.67,691,2021-08-04
CUST100360,Joseph,Burke,1984-02-11,42,CO,BR104,avilalisa@example.net,(466)910-8573,Employed,3.6,29892.26,675,2019-08-04
CUST100622,Lauren,Williamson,1977-06-18,49,MA,BR110,ggates@example.org,525.679.7067,Employed,0.3,66738.04,748,2026-06-12
CUST101140,Joanna,Williams,1960-06-28,66,PA,BR104,rose88@example.com,+1-840-678-8026x52951, Retired ,0.0,43036.47,716,2022-01-17
