customer_id,first_name,last_name,income_reported,score_snapshot,state
CUST100259,Susan,Salazar,11198.89,620,MI
CUST101334,Michael,Roberts,68902.67,706,NY
CUST101352,Adam,White,44910.4,721,CO
CUST101271,John,Williams,104746.06,744,VA
CUST102239,Melanie,Haynes,14725.96,639,GA
CUST101129,Alejandro,Smith,89067.77,673,GA
CUST101998,Billy,Johnson,39515.15,677,CO
CUST100991,Teresa,Lee,52634.58,759,CO
CUST101452,Kyle,Giles,46864.43,736,MA
CUST100931,John,Sanford,47815.65,703,WI
CUST101253,Breanna,Lewis,27980.93,703,WA
CUST102295,Jenny,Simmons,57861.41,678,AZ
CUST100033,Angela,Allen,98627.23,808,CA
CUST100303,Dennis,Moody,86424.38,672,FL
CUST101063,Mary,Mills,71221.19,769,AZ
CUST100464,Christina,Davis,57455.25,694,CA
CUST101793,Thomas,Lewis,69013.39,700,MI
CUST100923,Kelli,Collins,50580.05,657,MO
CUST100248,Jonathan,Nixon,65082.73,716,WI
CUST101057,Tara,Keller,92114.24,715,MO
CUST102343,Kathryn,Wagner,102395.58,728,MI
CUST101710,Karen,Sanchez,90779.96,699,WI
CUST100798,Brittney,Mccoy,101178.57,741,VA
CUST100787,Charles,Le,111955.03,743,TX
CUST100129,Luis,Evans,80017.65,762,NC
CUST100989,Olivia,Nolan,85112.66,772,CO
CUST100058,Yolanda,Boone,88158.14,752,WI
CUST101777,William,Leblanc,11386.79,643,FL
CUST100149,Jennifer,Nelson,78385.83,682,IN
CUST101623,Alicia,Hawkins,93437.9,683,CO
CUST100601,Kathleen,Kim,79047.04,720,NC
CUST101181,Tyler,Edwards,53171.85,710,MI
CUST100636,Sheri,Perez,30322.64,690,CA
CUST101576,Audrey,Peters,53602.03,741,TN
CUST101870,John,Perry,87087.23,722,IL
CUST100509,Troy,Williams,91677.41,690,CO
CUST101707,Danny,Rosario,46950.6,722,MI
CUST101186,Lauren,Ramos,52910.81,666,FL
CUST100568,Tammy,Bishop,42182.5,703,MO
CUST100089,John,Aguirre,95265.0,707,IL
CUST100427,Catherine,Jones,76649.16,721,WA
CUST101356,Brian,Ray,71220.73,730,OH
CUST101563,Jessica,Pittman,19768.09,665,NC
CUST100213,Carolyn,Montoya,16546.31,722,VA
CUST101116,Scott,Smith,0.0,673,NJ
CUST101621,Jeremy,Robinson,57974.02,757,PA
CUST100649,Kimberly,Jackson,96761.67,793,NJ
CUST102331,William,Dunn,21223.77,625,CA
CUST100414,Jessica,Ellis,71836.36,784,CA
CUST101414,Vanessa,Martinez,47684.74,686,MI
CUST101206,David,Ortega,104517.94,791,AZ
CUST101808,Pamela,Molina,30808.09,681,NY
CUST101521,Beth,Dennis,108317.97,786,MO
CUST101394,Terri,Cooper,57862.97,720,PA
CUST101680,Melissa,Powers,60232.47,689,VA
CUST100975,Jenny,Hernandez,29795.47,659,GA
CUST100809,Tanya,Powell,51289.67,755,CO
CUST100586,Brittany,Sheppard,62535.77,665,MI
CUST102128,James,Rodriguez,49175.9,736,IN
CUST100267,Stephen,Foley,21584.58,693,MI
CUST100252,Philip,Griffin,49003.39,686,WA
CUST102407,Peter,Krueger,11549.58,616,IN
CUST100249,Lynn,Norris,108818.18,753,MA
CUST102111,Denise,Irwin,75120.29,693,WA
CUST101177,Randy,Robertson,15634.7,567,TN
CUST102261,Martha,Smith,35574.25,705,MA
CUST102476,Travis,Frank,38988.32,719,MA
CUST101158,Ian,Johnston,83237.79,719,TX
CUST101020,Derek,Lewis,33482.45,699,GA
CUST101001,Kimberly,Kelly,66804.55,765,NY
CUST101299,Lorraine,Fernandez,81045.34,693,AZ
CUST101114,Jacqueline,Church,13698.84,626,IL
CUST101981,Joshua,Gibson,45848.85,714,MO
CUST100589,Michael,Santana,128670.05,667,VA
CUST100555,Logan,Lee,74723.6,717,TN
CUST102284,Nicholas,Holland,53227.13,744,OH
CUST100032,Elizabeth,Rogers,87110.27,711,MI
CUST102277,Michael,Mitchell,67545.05,653,TX
CUST100130,Nicole,Cole,35059.88,628,AZ
CUST100716,Cassandra,Harrison,37287.79,699,TN
CUST100479,John,Barnes,28155.39,725,FL
CUST101708,Jason,Parker,96974.34,727,IL
CUST102180,Misty,Snyder,62426.56,665,IL
CUST100593,Jason,Kennedy,72089.08,700,CA
CUST101554,Sylvia,Madden,10880.77,541,IL
CUST101984,Ellen,Smith,59664.36,682,TX
CUST101950,Allison,Massey,53624.32,706,TX
CUST101558,Michelle,Rodriguez,111293.59,759,OH
CUST101997,Kevin,Nguyen,87809.68,733,IN
CUST101790,Kevin,French,62926.78,655,CA
CUST101400,Autumn,Williams,68948.84,760,WI
CUST102149,Wanda,Mack,95104.17,681,NC
CUST101236,Shaun,Hill,13264.83,570,PA
CUST101686,Chad,Thompson,25622.33,658,NC
CUST101775,David,Hernandez,53086.08,678,MI
CUST100286,Whitney,Santiago,95529.95,680,TN
CUST101456,Lisa,Foley,7767.39,683,WA
CUST101912,Jennifer,Johnson,46265.19,636,WA
CUST101587,Jared,Johnson,62936.12,756,CO
CUST100578,Joshua,Hoover,87318.89,678,FL
CUST100825,Amy,Ellis,30914.12,669,CA
CUST100017,Rebecca,Gardner,61247.66,705,OH
CUST100316,Matthew,Lane,48106.51,743,TN
CUST101493,Matthew,Berg,50619.5,623,NY
CUST100605,Tracey,Werner,20433.15,705,MA
CUST100294,Jessica,King,51600.14,683,MA
CUST100043,Christopher,Gay,70022.85,679,TN
CUST100243,Kenneth,Baker,67364.96,751,VA
CUST102078,Julie,Bright,27205.86,703,FL
CUST100936,Michael,Young,19499.78,542,NY
CUST101369,Kyle,Lawrence,84141.88,712,NJ
CUST102362,Wendy,Gill,78090.37,754,MO
CUST100333,Brittany,Garcia,50575.26,745,WA
CUST100015,Jade,Carr,85422.62,776,TX
CUST101969,Cody,Carter,35626.14,666,IL
CUST100671,Monica,Jones,79531.77,735,NJ
CUST100835,Alison,Gates,71053.06,701,MO
CUST102164,Tonya,Ramos,10117.8,661,FL
CUST102425,Leah,Kennedy,93597.79,732,NJ
CUST100113,Jane,Sanders,75210.33,690,TX
CUST101465,Rachael,Wright,24096.33,654,AZ
CUST101085,Tyler,Cox,46502.34,695,IN
CUST100095,Diana,Stanton,13880.82,624,VA
CUST100519,Holly,Sullivan,13862.79,565,TN
CUST100035,Michael,Turner,52618.15,701,IN
CUST102394,Gregory,Wagner,50784.21,667,GA
CUST102161,Brendan,Costa,1922.4,663,IN
CUST100550,Denise,Ingram,90036.24,770,IL
CUST100969,Steven,Lopez,104959.85,802,VA
CUST101784,Robin,Reynolds,78249.17,777,NY
CUST101498,Joseph,Reynolds,12469.26,655,AZ
CUST100052,Makayla,Olson,81655.31,691,MO
CUST102377,Joshua,Dillon,60685.99,641,MA
CUST102041,Edgar,Mckenzie,41924.88,636,IL
CUST101415,Richard,Erickson,75336.19,739,FL
CUST100146,Darren,Salazar,55623.05,723,NJ
CUST101565,Jonathan,Diaz,71444.56,693,VA
CUST101979,Ryan,Harris,63288.91,657,AZ
CUST101464,Gabriel,Perez,19330.7,579,IN
CUST101507,Charles,Barnes,71836.7,711,CA
CUST101216,Karen,Harris,97039.38,735,MI
CUST100712,Tracy,Nguyen,93081.87,691,FL
CUST100838,James,Schultz,55434.26,726,CA
CUST102113,William,Barnes,9474.31,613,IL
CUST100849,Adam,Perry,58943.96,685,OH
CUST101368,Joshua,Rivas,41839.33,688,MI
CUST101687,Robert,Kennedy,105544.27,698,IL
CUST101598,Kelly,Pace,104419.72,775,CO
CUST100765,Kathleen,Wilson,59716.51,725,NC
CUST100452,Joshua,Garcia,125171.51,765,TX
CUST102445,Brian,Phillips,24535.74,726,OH
CUST101213,Kristen,Long,82888.39,732,CA
CUST100187,George,Howard,87284.7,706,NY
CUST100667,Robin,Ortiz,85374.55,723,WA
CUST100220,Linda,Morrow,50401.62,686,MA
CUST101656,Joseph,Smith,79668.96,792,GA
CUST101657,Michael,Davis,42410.4,653,AZ
CUST101626,Joseph,Harris,26195.46,692,TN
CUST101819,William,Graham,11281.4,596,TX
CUST100073,Craig,Wise,62880.13,645,WA
CUST100557,Eddie,Snyder,66619.84,794,IL
CUST100886,Michelle,Patel,78518.62,664,NC
CUST100362,Robert,Marshall,13645.26,679,TX
CUST101471,Jennifer,Price,104384.07,789,WI
CUST101924,Dorothy,Rivera,14482.72,718,NJ
CUST101765,Erica,Anderson,82525.49,743,PA
CUST101292,Rebecca,Richard,33632.32,729,NC
CUST100562,Mike,Campbell,58356.03,670,IN
CUST101042,Gary,Cuevas,47609.5,657,CA
CUST101408,Bruce,Hughes,72920.25,710,TX
CUST101229,Craig,Taylor,15328.65,657,MO
CUST102373,Rachel,Evans,71904.79,737,AZ
CUST100532,Craig,Chapman,72481.0,795,MI
CUST100675,John,Marquez,55095.87,686,TN
CUST100176,Matthew,Hill,98513.84,702,WA
CUST102215,Barbara,Cruz,63595.31,637,WI
CUST100491,Clayton,Owens,30674.95,605,NY
CUST100628,Lorraine,Schaefer,7046.99,623,IN
CUST101286,Jeremy,Lopez,42693.99,677,MA
CUST100781,Sandy,Ramirez,66047.14,693,IL
CUST101566,Scott,Ross,74927.23,771,NY
CUST102280,Alexis,Fox,91553.29,754,CO
CUST101163,Michael,Bradford,69710.48,707,WI
CUST100560,Kenneth,Peterson,65333.32,738,NY
CUST101968,Frank,Pham,49876.27,752,PA
CUST100999,Amanda,King,59978.92,699,NC
CUST101290,Sandra,Santana,97596.05,782,CO
CUST101056,Lawrence,Nelson,81000.2,667,WA
CUST100680,Travis,Powers,87369.0,747,IN
CUST101734,Samuel,Watson,48206.73,724,MO
CUST100106,Lisa,Reese,53462.16,637,IL
CUST102133,Kristin,Mccormick,100742.52,800,NJ
CUST102404,Troy,Orr,71398.83,710,NC
CUST102037,Nathan,Pena,7393.24,575,MA
CUST102375,Diane,Martinez,91687.98,802,MI
CUST101019,David,Berry,9724.02,670,MI
CUST100273,Emily,Hendricks,29779.03,696,PA
CUST100420,Robert,Saunders,0.0,647,NJ
CUST101663,Benjamin,Snyder,28904.2,671,OH
CUST102160,Ronald,Gregory,56623.08,767,WA
CUST102446,Ronald,Hunt,78792.87,726,MO
CUST101837,Samuel,Bell,9380.14,550,NC
CUST100629,Dominique,Harris,71576.23,735,NC
CUST102004,Lisa,Morton,76176.49,762,IN
CUST100725,Tony,Todd,21517.43,556,WA
CUST101392,Michael,Rodriguez,88799.54,759,WA
CUST100924,Laurie,Wilkinson,69396.74,761,NY
CUST101994,Laura,Miller,108029.75,773,MO
CUST100045,Tina,Allen,94681.83,730,TN
CUST101825,Rachel,Berg,68025.22,788,WI
CUST101701,Benjamin,Burton,13370.71,724,AZ
CUST101201,Alexis,Morris,82372.25,657,PA
CUST101051,Andrew,Miller,94587.88,770,PA
CUST100007,Tricia,Roman,32538.81,701,MI
CUST102219,Robert,Nichols,103916.47,723,TX
CUST101117,Adam,Walters,42232.26,715,VA
CUST101462,Samantha,Fox,35215.24,686,OH
CUST100068,Dawn,Downs,105753.5,720,MO
CUST100630,Lisa,Davis,49015.42,664,MO
CUST100960,Theresa,Cunningham,58221.24,626,IL
CUST102285,Martin,Mack,26060.95,699,MA
CUST101167,Amy,Webb,18129.83,643,CA
CUST101702,Hannah,Brown,32691.64,702,CO
CUST102499,Daniel,Hays,72010.97,664,WA
CUST100974,Amber,Herrera,75504.53,747,WI
CUST101572,Lisa,Wheeler,34817.75,637,OH
CUST100232,Lawrence,Delgado,53745.66,731,GA
CUST100696,James,Lindsey,45269.18,739,TN
CUST101736,Daniel,Walter,60632.53,736,NY
CUST101823,Christopher,Shannon,86268.5,727,GA
CUST100934,Mary,Davis,66253.91,713,VA
CUST100341,Zachary,Powers,77013.66,668,AZ
CUST100470,Sheri,Ramirez,116526.6,690,WI
CUST102462,Michael,Rivera,12799.71,605,VA
CUST102422,Michael,Miller,63333.01,667,CA
CUST100951,Melissa,Wilson,0.0,628,OH
CUST100766,Michael,Jimenez,24257.72,660,WI
CUST100344,Lee,Evans,47163.25,730,CO
CUST101125,Edwin,Gonzalez,56183.8,735,PA
CUST100797,Kathy,Kelly,87534.16,755,MO
CUST102274,Ann,Marshall,32777.14,754,IL
CUST100041,Ricky,Morris,14542.11,602,MI
CUST100137,Tracy,Ray,39198.65,702,NJ
CUST102405,Jennifer,Mitchell,18229.22,703,VA
CUST101013,Teresa,Peterson,101904.79,741,PA
CUST100347,Scott,Smith,54730.61,649,NC
CUST102428,Robert,Liu,98830.6,705,IL
CUST101389,Sheila,Watson,19491.25,558,NJ
CUST102306,Christopher,Gregory,72993.33,732,CO
CUST101899,Rebecca,Edwards,22033.05,631,IN
CUST102247,Courtney,Jordan,54950.28,744,MA
CUST102107,Curtis,Johnson,53384.63,723,WI
CUST100281,Michael,Andrews,45944.36,699,WI
CUST101487,Michael,Davis,47939.8,667,MI
CUST100988,Gary,Smith,75231.77,729,CO
CUST102460,James,Leonard,57209.31,697,MI
CUST102481,Ashley,Hunt,41288.41,740,NJ
CUST100780,Patricia,Davis,73381.37,699,GA
CUST101597,Eric,Collins,61074.03,604,NY
CUST100915,Brent,Flores,56019.3,710,AZ
CUST100425,John,Thompson,77021.18,706,AZ
CUST101278,Kayla,Bradford,37876.08,721,OH
CUST101133,Ashley,Spence,18410.4,491,OH
CUST101901,Krista,Contreras,49194.02,707,MO
CUST100770,Derek,Beltran,39126.63,664,PA
CUST100059,Shawn,Jacobs,83867.89,772,TN
CUST101878,Sheryl,Gonzalez,67536.61,734,CA
CUST100258,Andrew,Sutton,25233.39,727,WA
CUST100826,Omar,Miller,75673.57,720,WI
CUST101312,Michael,Rodriguez,81494.02,727,MI
CUST102051,Kayla,Garcia,56749.49,682,NJ
CUST102049,Randall,Torres,42885.4,723,MI
CUST101198,Michael,Chang,40995.98,659,GA
CUST101606,Amanda,Miller,29154.04,717,MO
CUST100870,David,Conway,26199.66,651,NJ
CUST101919,Emily,Burch,2342.32,676,OH
CUST100264,Kevin,Carey,96544.17,799,MO
CUST101295,Heather,Mills,11587.73,682,GA
CUST101634,Charles,Wright,99885.62,714,IN
CUST100029,Elijah,Martinez,57736.44,662,MO
CUST102221,Kathryn,Chapman,19330.89,664,IN
CUST100751,Craig,Davies,36646.76,688,TN
CUST100882,Keith,Rodriguez,79070.67,797,WA
CUST101362,David,Mcdaniel,23172.56,750,FL
CUST101584,Cheryl,Davila,55765.49,607,MI
CUST102304,Dennis,Haynes,74909.5,768,NJ
CUST100025,Justin,Nelson,56821.63,733,TX
CUST102291,Anna,Anderson,19709.44,564,IN
CUST100265,Harold,Garza,39340.78,698,AZ
CUST100673,Tracy,Wright,53920.98,698,WA
CUST101635,Jason,Kramer,82267.53,732,CO
CUST100912,Sean,Hill,92268.54,695,MO
CUST102255,Claudia,Chambers,55653.88,676,OH
CUST101500,Kimberly,Costa,47536.39,698,WA
CUST100441,Brian,Patrick,56768.66,736,WI
CUST101662,Elizabeth,Griffin,52117.23,751,OH
CUST100422,Katherine,Harvey,77522.76,706,CO
CUST102396,Joyce,Stein,16407.08,580,NY
CUST101787,Michael,Jones,97610.79,753,FL
CUST102137,Marissa,Moore,11757.74,660,MI
CUST101723,Ronald,Lane,98927.83,735,NY
CUST101248,Julie,Chavez,45546.49,673,MO
CUST100057,Brianna,Smith,83067.86,748,OH
CUST100910,Cheryl,Walker,35749.28,638,WA
CUST100277,Julie,Johnson,71455.94,716,TN
CUST101092,Rachel,Stewart,70938.64,705,CO
CUST101603,Darrell,Morgan,44793.94,720,WI
CUST100142,Karen,Lawrence,62782.15,707,WA
CUST102429,Anthony,Lloyd,24972.71,713,IL
CUST100326,Michael,Ferguson,30447.97,747,MA
CUST101026,Mariah,Wang,5676.58,658,TN
CUST100844,Jenny,Ford,60242.29,739,AZ
CUST101911,Leslie,Hawkins,17323.2,645,GA
CUST101065,Alexis,Sharp,61784.79,657,PA
CUST101869,Nancy,Mckinney,38742.66,689,WA
CUST100349,Kevin,Johnston,41496.45,704,MO
CUST101939,Zachary,Drake,1698.36,644,GA
CUST100138,Tammy,Summers,29807.38,652,FL
CUST101748,James,Lee,128895.74,836,IN
CUST101016,Ruth,Baker,47568.49,742,NC
CUST100105,Erin,Love,26703.91,711,NC
CUST102360,Amy,Jones,17940.63,729,MA
CUST102099,Nicole,Dean,58187.4,744,MI
CUST100865,Mariah,Gill,93617.02,753,PA
CUST101908,Katherine,Woods,7888.33,561,IN
CUST101308,Diane,Jackson,7961.7,599,NJ
