customer_id,first_name,last_name,date_of_birth,age_at_2024,gender,state,postcode,employment_type,employment_tenure_months,annual_income,residential_status,dependents,customer_since
CUST000001,Angel,Hill,1986-10-24,37,M,VIC,2682,Casual,6,25324.57,Renting,3,2023-05-09
CUST000002,Patricia,Miller,1988-12-22,35,F,QLD,2600,Part-Time,126,46018.17,Owner,0,2016-12-28
CUST000003,William,Johnson,1962-05-29,61,F,NSW,2668,Full-Time,12,16866.35,Mortgage,0,2020-07-01
CUST000004,Joshua,Booth,1975-10-13,48,M,NSW,2646,Full-Time,55,100238.65,Mortgage,1,2019-10-15
CUST000005,Susan,Rogers,1958-09-29,65,F,QLD,2461,Full-Time,3,63954.06,Renting,1,2019-12-15
CUST000006,Joseph,Williams,1969-09-04,54,M,NSW,2908,Full-Time,86,100170.09,Owner,2,2017-11-06
CUST000007,Christian,Carter,2003-03-21,20,M,NSW,0995,Full-Time,91,83116.14,Renting,0,2021-12-02
CUST000008,Brandon,Perez,1990-08-04,33,F,NSW,2921,Full-Time,11,98633.21,Mortgage,1,2024-06-03
CUST000009,Norman,Chavez,1999-12-25,24,F,NSW,2972,Full-Time,47,91621.67,Owner,0,2020-01-21
CUST000010,Joseph,Zuniga,1961-11-17,62,M,VIC,2392,Full-Time,35,98773.31,Renting,0,2021-07-13
CUST000011,Steven,Nelson,1963-12-05,60,M,NSW,0983,Full-Time,23,97534.21,Renting,2,2022-11-20
CUST000012,Kimberly,Perez,1998-08-11,25,F,QLD,2156,Full-Time,24,84939.54,Renting,1,2019-02-19
CUST000013,Sherri,Walter,1961-12-18,62,F,NSW,2943,Full-Time,25,44801.24,Owner,0,2022-08-16
CUST000014,Robin,Ellis,1972-09-03,51,M,VIC,2723,Self-Employed,2,89266.83,Mortgage,0,2023-06-06
CUST000015,Julie,Patterson,1980-12-26,43,F,SA,6653,Self-Employed,7,73245.18,Renting,1,2025-09-13
CUST000016,Trevor,Campos,1957-10-01,66,M,WA,2619,Casual,4,41585.45,Mortgage,1,2018-02-06
CUST000017,Erin,Carlson,1959-01-03,65,M,WA,2986,Self-Employed,9,15000.0,Owner,0,2022-02-01
CUST000018,John,Tran,1976-11-15,47,M,SA,1184,Full-Time,43,86085.12,Renting,4,2023-08-23
CUST000019,Kelly,Moore,1969-06-16,54,F,TAS,1482,Full-Time,1,52902.76,Mortgage,1,2021-04-17
CUST000020,Colleen,Skinner,1955-11-25,68,M,NSW,3932,Full-Time,9,54773.48,Living with Family,1,2020-02-03
CUST000021,Stephanie,Nielsen,1959-02-05,64,M,ACT,1957,Full-Time,46,59857.14,Renting,2,2016-11-25
CUST000022,Natasha,Decker,2003-08-13,20,M,QLD,2933,Full-Time,64,96091.5,Owner,0,2017-03-31
CUST000023,Stacey,Miller,2000-08-25,23,F,NSW,2920,Full-Time,9,78213.98,Renting,0,2024-01-26
CUST000024,David,Keller,1980-08-15,43,M,QLD,9248,Full-Time,5,69446.38,Living with Family,0,2024-07-29
CUST000025,Jason,Ryan,1974-04-08,49,F,SA,2664,Casual,29,49900.01,Mortgage,0,2020-04-25
CUST000026,Nathaniel,Lam,1988-09-07,35,M,NSW,2611,Casual,36,44001.51,Living with Family,0,2018-12-15
CUST000027,Andrew,Spencer,1953-06-10,70,M,QLD,6301,Casual,3,45041.11,Renting,3,2023-02-04
CUST000028,Carlos,Johnson,1953-02-21,70,M,QLD,2951,Full-Time,39,106479.46,Owner,0,2021-05-09
CUST000029,Todd,Ryan,1965-11-17,58,M,VIC,5973,Part-Time,9,51254.71,Renting,2,2023-10-15
CUST000030,James,Davis,1996-07-24,27,M,QLD,2605,Self-Employed,30,48528.26,Renting,1,2020-07-15
CUST000031,Jessica,Nunez,1976-10-24,47,F,NSW,2506,Full-Time,35,98560.96,Living with Family,1,2023-04-12
CUST000032,Daniel,Lee,1996-02-28,27,M,VIC,4726,Full-Time,46,72393.49,Mortgage,0,2018-05-18
CUST000033,Nancy,Jones,1976-07-23,47,F,QLD,9108,Full-Time,122,75095.3,Living with Family,3,2024-04-01
CUST000034,Sara,Allison,2005-12-05,18,M,NSW,2646,Full-Time,13,95323.98,Renting,1,2021-02-04
CUST000035,Richard,Brown,1962-02-15,61,M,SA,2980,Part-Time,165,44910.02,Renting,1,2025-08-04
CUST000036,Kristen,Gibson,1965-02-09,58,M,WA,2608,Self-Employed,43,51497.69,Renting,0,2022-09-06
CUST000037,James,Robinson,1977-12-14,46,F,WA,2298,Self-Employed,25,68488.21,Renting,2,2017-04-10
CUST000038,Brendan,Woods,1967-12-01,56,M,QLD,8208,Self-Employed,14,85787.05,Renting,0,2017-06-12
CUST000039,Brooke,Leonard,1960-07-03,63,M,VIC,2696,Full-Time,32,36149.18,Mortgage,0,2017-10-21
CUST000040,John,Wheeler,2001-05-12,22,F,WA,0816,Full-Time,26,86360.93,Owner,0,2022-08-22
CUST000041,Leslie,Green,1982-07-05,41,F,QLD,2943,Full-Time,36,133903.44,Owner,4,2019-02-12
CUST000042,Debbie,Bryant,1957-04-26,66,M,VIC,2307,Full-Time,11,121135.88,Renting,0,2022-04-25
CUST000043,Craig,Medina,1982-05-19,41,M,NSW,3425,Casual,6,29201.26,Renting,0,2024-08-26
CUST000044,Mike,Moore,2000-09-21,23,F,VIC,4498,Part-Time,11,62932.4,Renting,2,2016-10-17
CUST000045,Kevin,Alvarado,1997-02-12,26,M,VIC,2624,Part-Time,51,32792.66,Mortgage,0,2017-10-06
