application_id,customer_id,application_date,loan_purpose,loan_amount_requested,term_months,interest_rate_offered,channel,bad_flag,first_name,last_name,date_of_birth,age_at_2024,gender,state,postcode,employment_type,employment_tenure_months,annual_income,residential_status,dependents,customer_since,bureau_credit_score,enquiries_last_6m,active_credit_accounts,defaults_on_file,months_since_last_delinquency,total_existing_debt,credit_utilization_pct,credit_file_age_months
APP000002,CUST004185,2023-03-19,Home Renovation,21500,36,19.86,Broker,1,Mark,Walker,1997-04-16,26,M,SA,2997,Casual,19,51888.14,Living with Family,3,2016-10-17,490,4,5,2,11.0,40969.56,100.0,20
APP000005,CUST004903,2023-03-11,Medical,23500,48,14.92,Broker,0,James,Stone,1999-04-17,24,M,NT,2501,Full-Time,2,98983.5,Owner,0,2018-05-20,636,2,3,1,15.0,24384.48,50.8,41
APP000006,CUST003890,2023-08-19,Home Renovation,29500,24,18.28,Online,0,Michael,Osborne,1973-05-16,50,M,NSW,2634,Part-Time,5,36862.91,Mortgage,2,2020-04-05,675,2,4,0,,17081.66,38.0,98
APP000009,CUST004673,2023-04-19,Home Renovation,23500,12,10.14,Online,0,Amy,King,1977-09-02,46,F,QLD,2912,Self-Employed,4,45813.93,Owner,4,2017-06-13,625,2,6,1,31.0,14937.5,70.5,140
APP000010,CUST001316,2023-09-07,Home Renovation,29000,36,12.92,Online,0,Christopher,Miller,1986-08-22,37,M,QLD,2619,Self-Employed,32,80016.09,Owner,0,2019-03-20,783,1,4,0,,0.0,35.7,175
APP000013,CUST001582,2024-02-16,Travel,35000,36,15.7,Broker,0,Andrew,Mccann,1974-07-19,49,F,NSW,2320,Full-Time,8,75310.15,Renting,0,2022-01-26,637,3,1,0,,19674.87,75.7,199
APP000014,CUST000454,2023-12-22,Car Purchase,25500,24,18.55,Online,0,Wendy,Dawson,1953-03-14,70,M,NSW,2403,Full-Time,23,26389.75,Renting,2,2024-10-19,642,3,4,0,,20716.01,48.7,164
APP000015,CUST001183,2023-09-07,Medical,28000,24,21.29,Online,0,Joshua,King,2003-03-11,20,F,NSW,2985,Self-Employed,22,63978.19,Renting,2,2024-04-22,685,0,4,0,,29189.25,49.9,110
APP000016,CUST004095,2023-08-24,Wedding,34500,36,9.06,Online,0,Jacqueline,Matthews,1977-01-29,46,M,VIC,2957,Self-Employed,10,60169.33,Mortgage,3,2017-11-04,704,0,2,0,,0.0,43.8,36
APP000017,CUST004133,2024-01-16,Home Renovation,7000,24,12.75,Branch,0,Paul,Johnson,1954-11-05,69,F,QLD,2920,Full-Time,4,105834.15,Renting,0,2019-06-29,692,2,3,0,,0.0,53.7,119
APP000018,CUST000820,2023-07-03,Car Purchase,34000,24,19.3,Online,0,Tyler,Daniel,1985-05-10,38,F,SA,2920,Full-Time,27,91865.21,Owner,2,2021-02-26,631,0,3,0,,12539.39,58.8,60
APP000019,CUST004547,2023-02-05,Debt Consolidation,30500,36,20.23,Broker,0,Jonathan,Ramirez,1999-07-01,24,M,NSW,2710,Part-Time,10,35755.35,Mortgage,1,2020-03-25,737,1,4,0,,3770.27,32.0,33
APP000020,CUST005714,2023-07-24,Home Renovation,44000,36,8.01,Online,0,David,Wang,1962-05-16,61,M,NSW,2657,Part-Time,1,60453.74,Living with Family,0,2019-06-20,691,2,2,0,,10624.26,48.2,64
APP000021,CUST000323,2023-10-31,Car Purchase,27500,36,18.06,Broker,1,Nicholas,Miller,2002-12-02,21,F,SA,4251,Full-Time,23,38287.92,Renting,0,2018-05-01,528,2,0,0,,49004.16,73.7,112
APP000022,CUST002555,2023-03-29,Wedding,28500,24,13.81,Broker,0,Kendra,Hunter,1968-07-18,55,M,QLD,2618,Full-Time,14,64804.35,Mortgage,4,2020-09-14,670,6,2,0,,29777.91,27.9,78
APP000023,CUST004089,2023-01-24,Wedding,8500,12,15.33,Online,0,Jessica,Henderson,1954-03-03,69,F,QLD,2016,Full-Time,2,64713.96,Mortgage,3,2021-02-23,671,1,2,0,,14590.11,49.2,25
APP000025,CUST003409,2023-08-10,Car Purchase,19500,60,19.37,Online,0,Brenda,Moore,1959-09-06,64,F,NT,2679,Self-Employed,21,55675.58,Mortgage,2,2021-07-18,695,0,5,0,,15122.7,43.0,61
APP000026,CUST003986,2023-04-29,Travel,49500,36,22.32,Branch,0,Michael,Larson,1987-01-18,36,M,VIC,815,Full-Time,37,50387.44,Renting,1,2024-06-29,719,0,1,0,,0.0,17.6,157
APP000027,CUST004619,2023-03-05,Debt Consolidation,4000,24,16.27,Branch,0,Anita,Wilkerson,1952-12-14,71,F,VIC,3377,Part-Time,29,44358.06,Renting,0,2023-06-18,610,4,1,0,,7868.82,76.9,121
APP000028,CUST004563,2024-03-17,Other,18000,60,11.57,Branch,0,Mark,Leon,1960-03-24,63,M,NSW,5675,Part-Time,46,47211.89,Renting,1,2020-09-23,548,0,6,2,71.0,37782.57,79.4,145
APP000029,CUST000168,2023-03-31,Home Renovation,47500,36,20.42,Broker,1,Molly,Murphy,1962-04-02,61,F,NSW,2639,Unemployed,0,17464.45,Mortgage,0,2016-10-01,455,7,3,4,22.0,60321.73,100.0,32
APP000030,CUST002242,2023-07-11,Debt Consolidation,31000,24,12.49,Broker,0,Patrick,Gilbert,1992-08-06,31,M,SA,2980,Part-Time,6,51759.74,Renting,1,2021-08-06,626,2,2,2,6.0,25475.83,74.3,203
APP000032,CUST003608,2023-07-20,Car Purchase,10000,60,8.18,Broker,0,Tyler,Edwards,1975-07-19,48,F,WA,6818,Full-Time,25,64598.52,Owner,1,2021-08-04,585,1,0,0,,19499.67,38.9,103
APP000034,CUST001784,2023-08-30,Debt Consolidation,21000,36,12.87,Broker,0,Jessica,Miller,1978-10-25,45,F,VIC,2610,Part-Time,21,40587.21,Renting,1,2019-03-16,813,0,7,0,,1637.84,0.0,28
APP000035,CUST002871,2023-07-09,Debt Consolidation,9500,24,17.56,Online,0,Kathleen,Carlson,1969-07-18,54,M,SA,2945,Casual,42,43902.44,Owner,1,2021-11-27,650,2,4,0,,11990.5,59.0,136
APP000042,CUST002905,2024-03-27,Debt Consolidation,17000,12,17.41,Online,0,Jay,Vazquez,2005-12-23,18,F,WA,2632,Full-Time,13,98116.86,Renting,0,2025-04-18,697,0,3,0,,12506.02,34.5,59
APP000043,CUST001902,2023-10-15,Debt Consolidation,22500,48,16.38,Branch,0,Jason,Shaw,1961-04-18,62,F,QLD,2811,Full-Time,35,60946.31,Mortgage,3,2018-11-30,836,1,8,0,,0.0,0.0,113
APP000044,CUST001057,2023-07-03,Debt Consolidation,48000,36,11.09,Branch,0,Scott,Smith,1963-06-09,60,F,QLD,2994,Casual,77,41889.86,Mortgage,1,2019-06-08,689,2,2,0,,18279.0,52.2,129
APP000045,CUST005844,2024-01-29,Medical,22500,36,19.97,Online,0,Luis,Smith,1952-06-10,71,F,VIC,2248,Self-Employed,7,109451.8,Mortgage,1,2024-06-02,708,1,0,0,,12931.72,50.9,107
APP000046,CUST000542,2023-06-05,Debt Consolidation,32000,36,20.78,Branch,0,Crystal,Thompson,1978-01-02,46,F,TAS,900,Full-Time,73,86057.93,Mortgage,1,2020-10-16,604,1,4,0,,14305.4,41.7,57
APP000047,CUST001940,2023-07-18,Debt Consolidation,39000,36,12.78,Branch,0,Jessica,Thomas,1977-01-06,47,F,VIC,208,Casual,36,31004.98,Owner,0,2020-02-13,495,2,2,0,,35077.36,84.4,55
APP000050,CUST000594,2023-02-23,Debt Consolidation,23000,36,20.79,Broker,0,Justin,King,1959-01-23,64,F,QLD,2243,Full-Time,32,97756.23,Owner,1,2023-07-05,833,0,3,0,,0.0,33.9,3
APP000051,CUST001732,2023-04-16,Debt Consolidation,33500,36,20.97,Branch,0,Jennifer,Lang,1950-11-18,73,F,QLD,2455,Casual,54,41541.04,Mortgage,0,2023-08-17,606,1,4,0,,13540.34,83.4,62
APP000052,CUST003222,2024-01-06,Wedding,5000,24,13.82,Branch,0,Shawn,Smith,1960-05-10,63,F,NSW,2996,Full-Time,38,43357.61,Renting,1,2023-01-21,669,1,4,0,,25986.85,79.5,127
APP000055,CUST003324,2023-12-27,Travel,22000,12,10.93,Online,0,Christine,Daniel,1953-03-03,70,F,NSW,2954,Part-Time,14,41048.8,Owner,1,2019-09-06,536,5,3,0,,5934.53,36.3,166
APP000057,CUST003225,2023-06-26,Wedding,9500,36,12.7,Online,0,Melissa,Adams,1975-05-13,48,M,WA,847,Full-Time,31,60501.88,Mortgage,1,2020-12-05,669,1,1,1,2.0,34145.04,63.1,86
APP000058,CUST004432,2023-07-16,Medical,32500,48,9.79,Broker,0,Andrea,Clark,1983-09-21,40,F,QLD,2920,Casual,43,19155.32,Living with Family,1,2020-05-03,713,0,1,0,,17803.8,11.6,57
APP000059,CUST001261,2023-10-25,Travel,5500,36,13.8,Online,0,Lindsey,Fox,1972-11-18,51,M,QLD,5777,Full-Time,38,84580.79,Mortgage,1,2021-11-28,715,3,5,0,,28065.12,47.5,103
APP000061,CUST003452,2023-10-12,Home Renovation,42000,24,8.56,Broker,0,Jessica,Elliott,2000-03-24,23,M,NSW,2674,Full-Time,121,56773.07,Renting,0,2017-10-15,766,2,4,0,,0.0,38.0,79
APP000063,CUST003073,2023-10-19,Car Purchase,13500,48,19.27,Online,0,Kyle,Lester,1964-09-22,59,F,SA,2938,Casual,11,42987.21,Renting,2,2019-04-28,742,1,1,0,,18737.72,49.3,98
APP000064,CUST003688,2023-10-17,Car Purchase,25500,60,13.92,Online,0,Vincent,Evans,1967-05-17,56,M,NSW,2939,Full-Time,1,108857.73,Owner,1,2020-09-16,594,1,2,0,,37181.98,58.6,78
APP000066,CUST003316,2023-02-21,Car Purchase,34500,36,21.48,Online,0,Courtney,Brooks,1985-11-19,38,M,QLD,2610,Full-Time,2,76842.33,Mortgage,2,2021-04-11,660,4,1,0,,3187.53,46.4,114
APP000067,CUST002292,2023-07-24,Debt Consolidation,47500,24,10.52,Online,0,Stacy,Bates,1985-11-11,38,M,VIC,2940,Full-Time,33,99633.09,Owner,0,2020-08-23,705,1,4,0,,26100.93,36.7,93
APP000070,CUST005761,2024-02-05,Car Purchase,3000,24,10.89,Broker,0,Tyler,Mills,1983-02-02,40,M,NSW,2631,Full-Time,21,49253.77,Renting,3,2018-07-15,577,3,2,1,67.0,27661.67,79.3,112
APP000072,CUST003879,2023-04-22,Medical,27500,36,16.25,Broker,0,James,Neal,1976-05-05,47,M,QLD,2621,Full-Time,161,63660.55,Owner,2,2021-12-09,900,0,5,0,,0.0,0.0,117
APP000073,CUST002991,2023-01-31,Car Purchase,8500,36,10.85,Online,0,Michael,Roberts,1959-03-19,64,F,QLD,2631,Full-Time,2,89085.32,Mortgage,3,2020-02-08,677,1,3,0,,29339.41,40.0,60
APP000074,CUST000759,2024-01-02,Car Purchase,18000,48,8.72,Broker,0,Patrick,Deleon,1996-08-10,27,M,VIC,2955,Full-Time,3,66290.97,Renting,3,2024-08-22,745,2,6,0,,17722.81,68.9,108
